dataset,method,intensity,model,cer,wer,cer_lower,wer_lower
rimes,combo,1,RIMES_jpeg_compression,0.7607234995605704,0.9398829579712715,0.7515663538683979,0.9331441744990246
rimes,combo,2,RIMES_jpeg_compression,0.05086043149150909,0.1432878169888278,0.048082102457970684,0.13548501507359462
rimes,combo,3,RIMES_jpeg_compression,0.0576928528903127,0.16173080333392445,0.05505627533807728,0.15357332860436249
rimes,combo,4,RIMES_jpeg_compression,0.06410001984520738,0.17095229650647278,0.06132169081166898,0.16368150381273275
rimes,combo,5,RIMES_jpeg_compression,0.16791880475150966,0.3270083348111367,0.16437501771893517,0.31814151445291716
rimes,combo,1,RIMES_downscale,0.6343662291270944,0.8173435006206774,0.625832789952655,0.810782053555595
rimes,combo,2,RIMES_downscale,0.04201513905820316,0.11917006561447065,0.04059762424517336,0.11349530058521014
rimes,combo,3,RIMES_downscale,0.051824341564369346,0.14435183543181415,0.05052022793638194,0.13743571555240292
rimes,combo,4,RIMES_downscale,0.05885521503699714,0.1587160844121298,0.05582173333711337,0.15020393686823905
rimes,combo,5,RIMES_downscale,0.17200124741303546,0.3121120766093279,0.16803220593655205,0.30342259265827276
rimes,combo,1,RIMES_combo,0.5594930967028605,0.7437488916474552,0.5524055226377116,0.7380741266181947
rimes,combo,2,RIMES_combo,0.04110792957786409,0.11633268309984039,0.039945567431179656,0.11065791807057988
rimes,combo,3,RIMES_combo,0.04584242905338361,0.13051959567299168,0.044595016017917384,0.12484483064373116
rimes,combo,4,RIMES_combo,0.043290902389929976,0.120234084057457,0.042241941428287924,0.11509132824968966
rimes,combo,5,RIMES_combo,0.0646386754741587,0.1647455222557191,0.0619170470331415,0.15587870189749956
rimes,combo,1,RIMES_mixed,0.4070819040058969,0.5899982266359284,0.40090153942108697,0.5843234616066678
rimes,combo,2,RIMES_mixed,0.04071102543021574,0.11509132824968966,0.03969041476483429,0.11065791807057988
rimes,combo,3,RIMES_mixed,0.04762849771780115,0.13459833303777266,0.045643976979559436,0.12874623160134777
rimes,combo,4,RIMES_mixed,0.050463527343860747,0.13690370633090973,0.04890426104952797,0.13122894130164922
rimes,combo,5,RIMES_mixed,0.10024664757746718,0.21439971626174853,0.09761007002523177,0.20677425075367972
rimes,combo,1,RIMES-base,0.8399909279051966,1.2546550806880652,0.8322512970260539,1.2470296151799964
rimes,combo,2,RIMES-base,0.058118107334221646,0.16155346692676006,0.05536812859694384,0.1548146834545132
rimes,combo,3,RIMES-base,0.06985512998610835,0.1862032275226104,0.06611289087970969,0.17769107997871963
rimes,combo,4,RIMES-base,0.08008958693618348,0.2030501862032275,0.07614889575596065,0.1940060294378436
rimes,combo,5,RIMES-base,0.22518640319791342,0.41798191168646925,0.22155756527655715,0.40982443695690723
catmus,none,none,CATMuS_downscale,0.09792797714296764,0.38146917584268547,0.09435173143953861,0.3726179231262096
catmus,downscale,35,CATMuS_downscale,0.10229464687141952,0.39007602829758703,0.09871960976741713,0.38150880831753536
catmus,downscale,30,CATMuS_downscale,0.10586122377943544,0.39635117014881993,0.10233211345364537,0.3879887179554927
catmus,downscale,25,CATMuS_downscale,0.11501394723738342,0.41083683970645546,0.11145945632363392,0.4029103447364771
catmus,downscale,20,CATMuS_downscale,0.15156924549554993,0.4680331063273246,0.14819725309522314,0.4609587095666189
catmus,downscale,15,CATMuS_downscale,0.28584222459644865,0.6341460192481719,0.28249682138350796,0.6291325111796606
catmus,downscale,35,CATMuS_base,0.12130591585247352,0.43447100554194107,0.11786261608597493,0.42680212165848697
catmus,downscale,30,CATMuS_base,0.130497314492074,0.4488708047374018,0.12693798918061794,0.44144632111552207
catmus,downscale,25,CATMuS_base,0.1523548351228662,0.48425599936588043,0.148832976393636,0.4772080242550746
catmus,downscale,20,CATMuS_base,0.2118372645044017,0.5635870031904142,0.2081836684376677,0.5577412131500552
catmus,downscale,15,CATMuS_base,0.36833638706121796,0.7489811151257341,0.36466466200308434,0.7449253918660951
